Rubie Millar 11 ENG3C1 SBI3U1 PPL3OM BMI3C1 BAF3M1 MCR3U1 TEJ3M1 MBF3C1 
Miguel Carlson 11 BAF3M1 TDJ3M1 PPL3OM MCR3U1 SBI3U1 FSF3U1 THJ3M1 MBF3C1 
Kathy Neale 11 BAF3M1 ENG3C1 TDJ3M1 HSP3U1 SBI3U1 FSF3U1 AWQ3M1 BDP3O1 
Emil Amin 10 ICS2O1 CHV2O1 CHC2D1 SNC2P1 GLC2O1 PAF2OF TDJ2O1 PPL2OM 
Jolene Sumner 9 NAC1O1 ENG1L1 TIJ1O1 PPL1OM FSF1O1 MFM1P1 BTT1O1 TGJ1O1 
Koa Finley 12 SCH4U1 CLN4U1 CHY4U1 MHF4U1 TGJ4M1 null IDC4U1 TDJ4M1 
Murphy Garza 12 SBI4U1 AWQ4M1 CHY4U1 MHF4U1 MDM4U1 SPH4U1 ICS4U1 PLF4M1 
Myla Maldonado 11 CHW3M1 TDJ3M1 TEJ3M1 HSP3U1 BAF3M1 TGJ3M1 THJ3M1 BDP3O1 
Rayyan Carey 9 SNC1D1 MFM1D1 ADA1O1 PPL1OM ENG1L1 TIJ1O1 FSF1D1 TGJ1O1 
Steven Welch 12 BAT4M1 MDM4U1 MAP4C1 PLF4M1 MHF4U1 null ICS4U1 ENG4U1 
Leandro Donnelly 10 MFM2D1 BBI2O1 SNC2P1 CHV2O1 ICS2O1 PPL2OM null FSF2D1 
Ella-May Payne 12 HHS4U1 MDM4U1 AWD4M1 MHF4U1 TGJ4M1 TFJ4C1 TEJ4M1 PLF4M1 
Gertrude Bassett 12 SBI4U1 AWQ4M1 ADA4M1 ENG4U1 TGJ4M1 HHS4U1 PAF4O1 PLF4M1 
Esmai O'Doherty 12 ICS4U1 SPH4U1 AWD4M1 CLN4U1 TGJ4M1 HHS4C1 AWQ4M1 null 
Mila Haines 10 SNC2D1 BBI2O1 ENG2D1 ADA2O1 ICS2O1 PPL2OM TDJ2O1 FSF2D1 
Lyle Grainger 12 TEJ4M1 AWQ4M1 SBI4U1 SCH4U1 MHF4U1 HHS4C1 IDC4U1 PLF4M1 
Roman Yoder 11 ADA3M1 ENG3C1 TGJ3M1 FSF3U1 HSP3U1 CHW3M1 SPH3U1 MBF3C1 
Pheobe Gilmore 12 SBI4U1 AWQ4M1 AWD4M1 TFJ4C1 SPH4U1 CHY4U1 MDM4U1 SCH4U1 
Isobella Hahn 9 NAC1O1 FSF1O1 ADA1O1 PPL1OM ENG1D1 BTT1O1 MFM1P1 TGJ1O1 
Gurdeep Meyer 10 ENG2P1 BBI2O1 CHC2D1 CHV2O1 ICS2O1 PPL2OM TDJ2O1 SNC2D1 
Joy Fellows 9 PPL1OM ADA1O1 MFM1P1 CGC1D1 ENG1D1 TIJ1O1 NAC1O1 TGJ1O1 
Cheryl Cook 10 SNC2D1 MFM2P1 CHC2D1 ADA2O1 ICS2O1 PPL2OM PAF2OF GLC2O1 
Elsie-Rose Bauer 12 ENG4U1 AWQ4M1 CHY4U1 MHF4U1 CLN4U1 HHS4U1 null ADA4M1 
Terry Lamb 11 BAF3M1 BMI3C1 PPL3OM MCR3U1 AWQ3M1 FSF3U1 THJ3M1 SPH3U1 
Kevin Emerson 10 SNC2D1 MFM2P1 CHC2D1 ENG2D1 CHV2O1 PPL2OM TDJ2O1 ICS2O1 
Harper Hebert 10 ICS2O1 BBI2O1 ENG2D1 SNC2P1 CHV2O1 PPL2OM MFM2P1 FSF2D1 
Raya Davie 12 PAF4O1 TFJ4C1 CHY4U1 SCH4U1 CLN4U1 HHS4C1 null PLF4M1 
Gwion Skinner 12 TGJ4M1 AWD4M1 CHY4U1 TFJ4C1 CLN4U1 null MHF4U1 PLF4M1 
Zavier Fuentes 9 ENG1D1 null ADA1O1 CGC1D1 FSF1O1 BTT1O1 PPL1OM TGJ1O1 
Abiha Guthrie 12 SBI4U1 ENG4U1 HHS4C1 SCH4U1 TGJ4M1 SPH4U1 ICS4U1 ADA4M1 
Ptolemy House 12 BAT4M1 ENG4U1 MAP4C1 PAF4O1 SBI4U1 IDC4U1 ICS4U1 null 
Eliza Currie 11 BAF3M1 SBI3U1 TEJ3M1 MBF3C1 PPL3OM ICS3U1 THJ3M1 BDP3O1 
Kayden Enriquez 12 TDJ4M1 AWD4M1 TEJ4M1 null ICS4U1 SBI4U1 PAF4O1 ADA4M1 
Tracey Wilks 10 BBI2O1 CHV2O1 CHC2D1 PAF2OF GLC2O1 ADA2O1 PPL2OM FSF2D1 
Hallam Oconnor 11 ADA3M1 TDJ3M1 SCH3U1 THJ3M1 PPL3OM FSF3U1 SPH3U1 MBF3C1 
Dana Noel 10 MFM2D1 CHV2O1 CHC2D1 ADA2O1 SNC2P1 PPL2OM null FSF2D1 
Gina Rubio 11 BAF3M1 SBI3U1 SCH3U1 MCR3U1 HSP3U1 FSF3U1 ENG3C1 TFJ3C1 
Mahi Ayala 11 MBF3C1 SBI3U1 PPL3OM FSF3U1 ICS3U1 CHW3M1 null TFJ3C1 
Sacha Draper 12 TEJ4M1 MDM4U1 MAP4C1 null TGJ4M1 HHS4U1 ICS4U1 TDJ4M1 
Dougie Drake 12 HHS4U1 MDM4U1 AWD4M1 TFJ4C1 MHF4U1 SPH4U1 null TDJ4M1 
Sumaiya Paine 12 SBI4U1 ENG4U1 ADA4M1 null TGJ4M1 SPH4U1 AWQ4M1 TDJ4M1 
Ayda O'Ryan 10 ICS2O1 CHV2O1 CHC2D1 ADA2O1 GLC2O1 SNC2D1 MFM2D1 FSF2D1 
Mahir Cote 10 SNC2D1 MFM2P1 CHC2D1 PAF2OF GLC2O1 ENG2P1 TDJ2O1 FSF2D1 
Adelle Andrew 9 NAC1O1 PPL1OF TIJ1O1 CGC1D1 ENG1D1 ADA1O1 SNC1D1 MFM1P1 
Giorgio Sinclair 12 SBI4U1 ENG4U1 HHS4C1 AWQ4M1 TGJ4M1 SPH4U1 ICS4U1 PAF4O1 
Radhika Gould 11 TEJ3M1 SBI3U1 null THJ3M1 AWQ3M1 BAF3M1 SPH3U1 null 
Duke Taylor 10 null CHV2O1 CHC2D1 ADA2O1 GLC2O1 PAF2OF TDJ2O1 ENG2D1 
Sharna Norris 10 ADA2O1 MFM2P1 CHC2D1 PAF2OF GLC2O1 PPL2OM null FSF2D1 
Cassandra Barry 12 HHS4U1 ENG4U1 CHY4U1 SBI4U1 BAT4M1 SPH4U1 MDM4U1 TDJ4M1 
Norma William 11 ENG3C1 SBI3U1 TEJ3M1 ICS3U1 CHW3M1 FSF3U1 null BDP3O1 
Campbell Correa 12 HHS4U1 ENG4U1 SBI4U1 MHF4U1 TGJ4M1 CHY4U1 ICS4U1 BAT4M1 
Jax Houston 10 BBI2O1 CHV2O1 ENG2D1 ADA2O1 ICS2O1 PPL2OM MFM2P1 FSF2D1 
Mikaela Wagstaff 9 SNC1D1 ENG1L1 ADA1O1 CGC1D1 NAC1O1 BTT1O1 PPL1OF TGJ1O1 
Shanon Mercer 12 MAP4C1 AWD4M1 CHY4U1 SBI4U1 TGJ4M1 IDC4U1 MDM4U1 PAF4O1 
Zahrah Denton 9 SNC1D1 ENG1L1 TIJ1O1 CGC1D1 ADA1O1 BTT1O1 null TGJ1O1 
Evangeline Rodrigues 12 TEJ4M1 MDM4U1 SBI4U1 null TGJ4M1 CHY4U1 PAF4O1 PLF4M1 
Evie-Grace Hart 11 BAF3M1 ENG3C1 TFJ3C1 THJ3M1 AWQ3M1 CHW3M1 SBI3U1 ADA3M1 
Jeffrey Wu 11 BDP3O1 ENG3C1 CHW3M1 MBF3C1 null ADA3M1 SPH3U1 TFJ3C1 
Muhammed Rankin 12 SBI4U1 ENG4U1 MAP4C1 TFJ4C1 SPH4U1 CHY4U1 TDJ4M1 PLF4M1 
Jaylen Gibbs 11 TEJ3M1 BMI3C1 PPL3OM MCR3U1 HSP3U1 ENG3U1 AWQ3M1 MBF3C1 
Nojus Oliver 11 TEJ3M1 null null BMI3C1 AWQ3M1 CHW3M1 SPH3U1 BDP3O1 
Nabeel Kaufman 11 ENG3C1 null MBF3C1 BMI3C1 ICS3U1 BAF3M1 AWQ3M1 TFJ3C1 
Jada Fitzgerald 9 SNC1D1 PPL1OF TIJ1O1 CGC1D1 FSF1O1 BTT1O1 MFM1P1 TGJ1O1 
Arandeep Andrade 9 SNC1D1 PPL1OF ADA1O1 CGC1D1 ENG1L1 MFM1P1 BTT1O1 TGJ1O1 
Beck Woodard 10 CHV2O1 MFM2P1 SNC2P1 PAF2OF GLC2O1 PPL2OM CHC2D1 FSF2D1 
Theodore Stanley 12 TEJ4M1 AWQ4M1 SBI4U1 MHF4U1 null CHY4U1 ENG4U1 PLF4M1 
Darsh Serrano 12 TGJ4M1 SBI4U1 CHY4U1 SCH4U1 CLN4U1 HHS4U1 null PLF4M1 
Yehuda Green 11 ENG3C1 SBI3U1 SCH3U1 BMI3C1 ICS3U1 TEJ3M1 THJ3M1 MBF3C1 
Hamaad Parrish 11 BAF3M1 null SCH3U1 BMI3C1 HSP3U1 ENG3U1 FSF3U1 THJ3M1 
Ralphie Stanton 12 SCH4U1 AWD4M1 MAP4C1 TFJ4C1 CLN4U1 SPH4U1 null PLF4M1 
Cory Kavanagh 10 ICS2O1 BBI2O1 CHC2D1 CHV2O1 GLC2O1 PAF2OF TDJ2O1 PPL2OM 
Kamron Downes 9 CGC1D1 ENG1L1 TIJ1O1 PPL1OM FSF1D1 BTT1O1 NAC1O1 TGJ1O1 
Rebecca Murray 10 ENG2P1 BBI2O1 CHC2D1 PAF2OF GLC2O1 PPL2OM TDJ2O1 null 
Simrah Meza 11 ADA3M1 null TGJ3M1 MBF3C1 MCR3U1 FSF3U1 THJ3M1 BDP3O1 
Juliet Golden 9 SNC1D1 NAC1O1 ADA1O1 CGC1D1 FSF1O1 BTT1O1 PPL1OF TGJ1O1 
Rudy Reeve 10 SNC2D1 CHV2O1 ENG2P1 PAF2OF ICS2O1 PPL2OM MFM2D1 FSF2D1 
Tehya Magana 10 SNC2D1 BBI2O1 CHC2D1 PAF2OF GLC2O1 ENG2P1 MFM2D1 ADA2O1 
Elouise Gray 12 TDJ4M1 ENG4U1 HHS4C1 MHF4U1 SPH4U1 AWQ4M1 IDC4U1 ADA4M1 
Georgia Charlton 9 NAC1O1 ENG1D1 TIJ1O1 SNC1D1 FSF1D1 MFM1P1 PPL1OF TGJ1O1 
Sania Akhtar 10 ENG2P1 CHV2O1 CHC2D1 ADA2O1 TDJ2O1 PAF2OF SNC2P1 FSF2D1 
Humzah Hill 11 TEJ3M1 SBI3U1 TDJ3M1 BMI3C1 ICS3U1 CHW3M1 THJ3M1 BDP3O1 
Adem Booker 11 CHW3M1 ICS3U1 TFJ3C1 BMI3C1 AWQ3M1 FSF3U1 SPH3U1 BDP3O1 
Arbaaz Bender 12 TEJ4M1 ENG4U1 ADA4M1 SCH4U1 MHF4U1 MAP4C1 ICS4U1 PLF4M1 
Geraint Gonzalez 9 SNC1D1 MFM1D1 ADA1O1 null FSF1O1 BTT1O1 PPL1OF TIJ1O1 
Deniz Spooner 10 ENG2P1 SNC2P1 CHC2D1 ADA2O1 GLC2O1 PAF2OF MFM2D1 FSF2D1 
Krista Callahan 9 NAC1O1 ADA1O1 TIJ1O1 PPL1OM ENG1D1 BTT1O1 SNC1D1 TGJ1O1 
Henley Mcneil 12 CLN4U1 ENG4U1 SBI4U1 TFJ4C1 TGJ4M1 HHS4C1 ICS4U1 PLF4M1 
Shae Humphrey 12 BAT4M1 MDM4U1 MAP4C1 MHF4U1 CLN4U1 AWQ4M1 null ADA4M1 
Kobi Broadhurst 9 NAC1O1 MFM1D1 ADA1O1 CGC1D1 ENG1D1 BTT1O1 PPL1OF TGJ1O1 
Jamil Nelson 10 SNC2D1 PAF2OF CHC2D1 ADA2O1 GLC2O1 PPL2OM ENG2D1 FSF2D1 
Micheal Pike 11 BDP3O1 SCH3U1 PPL3OM HSP3U1 TGJ3M1 CHW3M1 SPH3U1 MBF3C1 
Elsie-Rose Fitzpatrick 9 SNC1D1 MFM1D1 ADA1O1 PPL1OM ENG1D1 TIJ1O1 NAC1O1 null 
Markus Buck 10 TDJ2O1 CHV2O1 SNC2P1 PAF2OF GLC2O1 PPL2OM CHC2D1 null 
Mayson Jordan 11 CHW3M1 SBI3U1 TGJ3M1 ENG3U1 ICS3U1 FSF3U1 TDJ3M1 HSP3U1 
Elif Hawes 9 ADA1O1 FSF1O1 TIJ1O1 CGC1D1 ENG1D1 BTT1O1 SNC1D1 TGJ1O1 
Hugo Merritt 12 TEJ4M1 AWQ4M1 null CLN4U1 TGJ4M1 SPH4U1 ENG4U1 ADA4M1 
Beatrix Cartwright 12 SBI4U1 AWD4M1 AWQ4M1 MHF4U1 BAT4M1 TGJ4M1 IDC4U1 TDJ4M1 
Brad Dickson 12 SCH4U1 AWQ4M1 ADA4M1 IDC4U1 SPH4U1 HHS4C1 ICS4U1 PLF4M1 
Archer Robson 11 TEJ3M1 TDJ3M1 null MBF3C1 HSP3U1 FSF3U1 SPH3U1 ADA3M1 
Musab Nash 10 CHC2D1 CHV2O1 SNC2P1 PAF2OF GLC2O1 ENG2P1 MFM2P1 FSF2D1 
Aditya Broughton 10 MFM2D1 CHV2O1 null SNC2D1 ICS2O1 ENG2P1 TDJ2O1 GLC2O1 
Lewys Huffman 11 ENG3U1 SBI3U1 TDJ3M1 HSP3U1 BAF3M1 CHW3M1 null MBF3C1 
Nisha Naylor 12 SCH4U1 AWQ4M1 CHY4U1 TFJ4C1 TGJ4M1 SPH4U1 IDC4U1 null 
Dolcie Whiteley 10 SNC2D1 CHV2O1 CHC2D1 PAF2OF TDJ2O1 PPL2OM MFM2P1 FSF2D1 
Kaleem Patrick 9 SNC1D1 ENG1L1 TIJ1O1 ADA1O1 FSF1D1 BTT1O1 PPL1OF NAC1O1 
Husna Blackburn 11 BAF3M1 BMI3C1 MBF3C1 MCR3U1 ADA3M1 SBI3U1 AWQ3M1 TFJ3C1 
Anoushka Bryant 11 TEJ3M1 SBI3U1 PPL3OM MCR3U1 TGJ3M1 CHW3M1 null TFJ3C1 
Sienna Marin 9 SNC1D1 ENG1L1 MFM1P1 CGC1D1 null BTT1O1 PPL1OF TGJ1O1 
Samera Griffiths 12 PAF4O1 TEJ4M1 MAP4C1 TFJ4C1 TGJ4M1 CHY4U1 null null 
Mahi O'Doherty 10 BBI2O1 CHV2O1 ENG2D1 PAF2OF MFM2P1 FSF2D1 TDJ2O1 SNC2D1 
Zi Redman 12 ENG4U1 AWQ4M1 BAT4M1 TFJ4C1 CLN4U1 HHS4C1 ICS4U1 PLF4M1 
Mehmet Howarth 11 ADA3M1 TDJ3M1 PPL3OM MCR3U1 SCH3U1 BDP3O1 THJ3M1 TFJ3C1 
Cohen Sosa 12 PAF4O1 MDM4U1 CHY4U1 null CLN4U1 AWQ4M1 null ADA4M1 
Harold Bailey 12 TEJ4M1 MDM4U1 MAP4C1 AWD4M1 BAT4M1 AWQ4M1 IDC4U1 ADA4M1 
Zakk Paul 9 NAC1O1 FSF1O1 ADA1O1 CGC1D1 ENG1D1 TIJ1O1 SNC1D1 PPL1OM 
Jeff Guest 11 CHW3M1 SBI3U1 PPL3OM HSP3U1 ICS3U1 FSF3U1 AWQ3M1 ENG3U1 
Asher Schofield 12 TEJ4M1 SBI4U1 CHY4U1 null TGJ4M1 HHS4C1 MDM4U1 MAP4C1 
Mandy Timms 11 ENG3C1 BMI3C1 PPL3OM MCR3U1 ICS3U1 null TEJ3M1 BDP3O1 
Mathilde Ahmad 9 SNC1D1 MFM1P1 ADA1O1 CGC1D1 FSF1O1 BTT1O1 NAC1O1 TGJ1O1 
Mylee Bright 9 NAC1O1 PPL1OM TIJ1O1 CGC1D1 ENG1D1 MFM1P1 SNC1D1 TGJ1O1 
Margot Hills 12 TEJ4M1 ENG4U1 TDJ4M1 TFJ4C1 null SPH4U1 IDC4U1 SCH4U1 
Dina Pitt 9 NAC1O1 SNC1D1 ADA1O1 CGC1D1 ENG1L1 BTT1O1 FSF1D1 TGJ1O1 
Darin Devine 12 SBI4U1 TFJ4C1 MAP4C1 MHF4U1 CLN4U1 IDC4U1 PAF4O1 PLF4M1 
Keira Wood 10 BBI2O1 MFM2P1 PAF2OF ICS2O1 GLC2O1 PPL2OM TDJ2O1 FSF2D1 
Stephan Galindo 9 MFM1D1 ENG1L1 ADA1O1 CGC1D1 FSF1O1 TIJ1O1 BTT1O1 SNC1D1 
Tiarna Stevenson 10 SNC2D1 CHV2O1 CHC2D1 GLC2O1 ICS2O1 PPL2OM null FSF2D1 
Elsie Joyner 10 ICS2O1 CHV2O1 MFM2D1 CHC2D1 GLC2O1 PPL2OM TDJ2O1 null 
Adnan Hodson 9 NAC1O1 ENG1L1 ADA1O1 CGC1D1 BTT1O1 MFM1P1 PPL1OF TGJ1O1 
Allana Grainger 12 TEJ4M1 ENG4U1 HHS4U1 TFJ4C1 MDM4U1 IDC4U1 ICS4U1 ADA4M1 
Garry Lindsey 12 SBI4U1 TGJ4M1 CHY4U1 MHF4U1 SPH4U1 MAP4C1 ICS4U1 ADA4M1 
Eliott Jensen 9 SNC1D1 ADA1O1 TIJ1O1 CGC1D1 FSF1O1 BTT1O1 NAC1O1 TGJ1O1 
Ammaarah Hope 9 ENG1D1 null ADA1O1 CGC1D1 FSF1O1 MFM1P1 PPL1OF SNC1D1 
Bethan Roth 9 SNC1D1 CGC1D1 ADA1O1 ENG1D1 FSF1O1 BTT1O1 null TGJ1O1 
Syed Mclellan 11 ADA3M1 SBI3U1 PPL3OM BDP3O1 null TGJ3M1 THJ3M1 TFJ3C1 
Humaira Clay 10 ICS2O1 BBI2O1 CHC2D1 PAF2OF MFM2D1 ENG2D1 TDJ2O1 FSF2D1 
Ann Ferguson 12 SBI4U1 AWQ4M1 TGJ4M1 null CLN4U1 ENG4U1 PAF4O1 null 
Fionnuala Forrest 10 ENG2D1 BBI2O1 CHC2D1 PAF2OF ICS2O1 PPL2OM TDJ2O1 FSF2D1 
Brandon Ali 12 SBI4U1 PAF4O1 TEJ4M1 PLF4M1 BAT4M1 SPH4U1 IDC4U1 ADA4M1 
Kenneth Dodd 11 BAF3M1 null PPL3OM TFJ3C1 ICS3U1 FSF3U1 SPH3U1 ADA3M1 
Rian Odom 11 BAF3M1 SCH3U1 PPL3OM THJ3M1 ICS3U1 ADA3M1 SPH3U1 BDP3O1 
Elliot Harding 12 SBI4U1 MDM4U1 CHY4U1 PLF4M1 TGJ4M1 null CLN4U1 TDJ4M1 
Isla-Rose Vega 12 TEJ4M1 ENG4U1 HHS4C1 null CLN4U1 IDC4U1 MDM4U1 PLF4M1 
Esha Noel 11 TEJ3M1 MCR3U1 TGJ3M1 BMI3C1 PPL3OM CHW3M1 SPH3U1 MBF3C1 
Reginald Mullins 10 SNC2P1 BBI2O1 ENG2D1 CHV2O1 MFM2P1 PAF2OF TDJ2O1 FSF2D1 
Pranav Figueroa 12 SBI4U1 AWD4M1 CHY4U1 HHS4C1 BAT4M1 SPH4U1 ICS4U1 null 
Ebrahim Correa 9 NAC1O1 ADA1O1 MFM1P1 CGC1D1 ENG1D1 FSF1O1 PPL1OF TGJ1O1 
Portia French 9 SNC1D1 MFM1D1 TIJ1O1 CGC1D1 ENG1D1 BTT1O1 PPL1OF ADA1O1 
Kiefer Fernandez 9 TGJ1O1 SNC1D1 NAC1O1 null ENG1L1 MFM1P1 FSF1D1 null 
Sky Baird 9 TGJ1O1 PPL1OF TIJ1O1 CGC1D1 MFM1P1 BTT1O1 FSF1D1 null 
Hina Harrison 11 BDP3O1 null TFJ3C1 THJ3M1 AWQ3M1 ICS3U1 SPH3U1 MBF3C1 
Sherri Doherty 11 TEJ3M1 SBI3U1 TDJ3M1 THJ3M1 ICS3U1 CHW3M1 AWQ3M1 ADA3M1 
Perry Samuels 12 TEJ4M1 AWD4M1 SBI4U1 MAP4C1 SCH4U1 HHS4C1 null TDJ4M1 
Dani Silva 11 CHW3M1 SBI3U1 null MCR3U1 AWQ3M1 TGJ3M1 ICS3U1 ADA3M1 
Isis Dejesus 12 BAT4M1 AWQ4M1 CHY4U1 SCH4U1 TEJ4M1 SPH4U1 IDC4U1 PLF4M1 
Gideon Ross 11 BAF3M1 null TGJ3M1 BMI3C1 AWQ3M1 FSF3U1 SPH3U1 MBF3C1 
Jae Wilder 12 TEJ4M1 SCH4U1 MDM4U1 MHF4U1 null HHS4U1 IDC4U1 PLF4M1 
Hamish Rush 10 ICS2O1 BBI2O1 CHV2O1 PAF2OF GLC2O1 PPL2OM null FSF2D1 
Taylor Head 9 NAC1O1 null MFM1P1 TIJ1O1 ENG1D1 BTT1O1 FSF1D1 null 
Mae Winter 12 PAF4O1 CLN4U1 CHY4U1 PLF4M1 TGJ4M1 HHS4C1 SCH4U1 TDJ4M1 
Gabrielius Rowland 11 TEJ3M1 SBI3U1 HSP3U1 MCR3U1 AWQ3M1 null THJ3M1 BAF3M1 
Nimrah Lindsay 10 SNC2D1 BBI2O1 MFM2P1 PAF2OF GLC2O1 ENG2P1 TDJ2O1 FSF2D1 
Hadi Witt 12 SBI4U1 MDM4U1 ADA4M1 TFJ4C1 SPH4U1 HHS4U1 null TDJ4M1 
Keane Marks 10 ENG2P1 CHV2O1 CHC2D1 ADA2O1 FSF2D1 PPL2OM TDJ2O1 SNC2D1 
Polly Wainwright 11 TEJ3M1 MBF3C1 PPL3OM MCR3U1 TDJ3M1 TGJ3M1 null ADA3M1 
Bronwen Robles 11 TEJ3M1 null SCH3U1 ENG3U1 AWQ3M1 FSF3U1 THJ3M1 HSP3U1 
Oakley Rodrigues 10 SNC2D1 BBI2O1 MFM2D1 PAF2OF GLC2O1 ADA2O1 CHV2O1 PPL2OM 
Chaya Hoffman 10 ENG2P1 CHV2O1 SNC2P1 ADA2O1 TDJ2O1 PAF2OF CHC2D1 PPL2OM 
Zaynab O'Gallagher 11 ENG3C1 MBF3C1 TEJ3M1 THJ3M1 HSP3U1 TGJ3M1 null TFJ3C1 
Katie Stephenson 12 HHS4U1 AWQ4M1 MAP4C1 MHF4U1 null SPH4U1 CHY4U1 PLF4M1 
Nuala Calvert 11 SCH3U1 BMI3C1 ENG3U1 THJ3M1 ICS3U1 FSF3U1 SPH3U1 BDP3O1 
Sanna Kaye 10 SNC2D1 CHV2O1 null ADA2O1 GLC2O1 PPL2OM TDJ2O1 ICS2O1 
Kinga Daugherty 10 ICS2O1 BBI2O1 ENG2D1 SNC2P1 GLC2O1 ADA2O1 MFM2D1 FSF2D1 
Kareem Firth 12 SBI4U1 AWD4M1 TEJ4M1 null BAT4M1 CHY4U1 ICS4U1 TDJ4M1 
Rueben Mora 12 BAT4M1 MDM4U1 TEJ4M1 SCH4U1 TGJ4M1 SPH4U1 HHS4U1 AWQ4M1 
Teagan Zhang 10 ICS2O1 MFM2P1 ENG2D1 ADA2O1 CHV2O1 PPL2OM CHC2D1 PAF2OF 
Caleb Browning 12 BAT4M1 AWD4M1 MAP4C1 ENG4U1 null HHS4U1 TFJ4C1 ADA4M1 
Cassidy Sparks 10 ICS2O1 CHC2D1 ENG2D1 ADA2O1 null PAF2OF TDJ2O1 PPL2OM 
Inaaya Hail 11 ADA3M1 TDJ3M1 TFJ3C1 PPL3OM TGJ3M1 FSF3U1 SPH3U1 MBF3C1 
Maizie Riddle 10 ICS2O1 BBI2O1 SNC2P1 PAF2OF GLC2O1 ENG2P1 TDJ2O1 FSF2D1 
Ruairi Harrington 12 SBI4U1 AWD4M1 AWQ4M1 SCH4U1 BAT4M1 HHS4C1 ICS4U1 null 
Leonard Melendez 11 ADA3M1 SBI3U1 TFJ3C1 BMI3C1 ICS3U1 CHW3M1 BAF3M1 MBF3C1 
Dale Field 10 ICS2O1 CHC2D1 SNC2P1 PAF2OF GLC2O1 CHV2O1 TDJ2O1 FSF2D1 
Macauley Bain 10 BBI2O1 CHV2O1 SNC2P1 ADA2O1 GLC2O1 PAF2OF PPL2OM ENG2P1 
Jeremiah Robins 10 SNC2D1 PPL2OM CHC2D1 PAF2OF FSF2D1 ENG2P1 TDJ2O1 GLC2O1 
Elijah Stott 9 NAC1O1 ADA1O1 TIJ1O1 CGC1D1 MFM1P1 BTT1O1 SNC1D1 null 
Gurveer Tierney 12 SBI4U1 AWQ4M1 MAP4C1 PLF4M1 null SPH4U1 TEJ4M1 ADA4M1 
Kristina King 10 ICS2O1 CHV2O1 ENG2D1 SNC2D1 null ADA2O1 null GLC2O1 
Elizabeth Beech 9 TGJ1O1 MFM1D1 ADA1O1 CGC1D1 FSF1D1 BTT1O1 TIJ1O1 null 
Arwa Chadwick 9 NAC1O1 MFM1D1 ADA1O1 PPL1OM CGC1D1 TIJ1O1 SNC1D1 null 
Aliya Gilliam 10 ENG2P1 FSF2D1 SNC2P1 PAF2OF null ADA2O1 TDJ2O1 GLC2O1 
Erika Morales 9 SNC1D1 FSF1D1 NAC1O1 CGC1D1 ENG1D1 TIJ1O1 PPL1OF null 
Alby Barnett 12 ADA4M1 ENG4U1 AWD4M1 TFJ4C1 AWQ4M1 CHY4U1 null TDJ4M1 
Clara Mckinney 10 ENG2P1 CHV2O1 null PAF2OF ICS2O1 PPL2OM TDJ2O1 GLC2O1 
Shiv Crouch 10 MFM2D1 BBI2O1 null ADA2O1 null PPL2OM TDJ2O1 SNC2D1 
Kaylan Atkins 10 ICS2O1 BBI2O1 CHC2D1 ADA2O1 null ENG2P1 TDJ2O1 PAF2OF 
Kamron Winters 10 BBI2O1 MFM2P1 CHC2D1 ADA2O1 ENG2P1 PAF2OF null SNC2D1 
Rishi Beck 10 ICS2O1 ENG2P1 CHC2D1 SNC2D1 null PPL2OM null GLC2O1 
